ID,customer_ID,title,urgency_code,status_code
3b23bb4b-4ac7-4a24-ac02-aa10cabd842c,1004155,Inverter not functional,H,C
3a4ede72-244a-4f5f-8efa-b17e032d01ee,1004161,No current on a sunny day,H,N
3ccf474c-3881-44b7-99fb-59a2a4668418,1004161,Strange noise when switching off Inverter,M,N
3583f982-d7df-4aad-ab26-301d4a157cd7,1004100,Solar panel broken,H,I
6f4a5b6c-4445-5556-6667-777888999000,1004100,Dust collector bag filter torn,M,C
7a5b6c7d-5556-6667-7778-888999000111,1004155,Flue gas analyzer probe blocked,M,N
8b6c7d8e-6667-7778-8889-999000111222,1004161,Agitator shaft seal leaking chemical,H,A
9c7d8e9f-7778-8889-9990-000111222333,1004100,Overhead door hydraulic cylinder drifting,L,I
1d8e9f0a-8889-9990-0001-111222333444,1004155,Cooling tower basin pump strainer blocked,M,N
2e9f0a1b-9990-0001-1112-222333444555,1004161,Air handling unit coil frozen,L,R
3f0a1b2c-0001-1112-2223-333444555666,1004100,Reciprocating compressor piston ring worn,L,C
4a1b2c3d-1113-2224-3335-445556667778,1004155,Booster pump not reaching design pressure,L,N
5b2c3d4e-2224-3335-4446-556667778889,1004161,Thermal insulation damaged on steam pipe,M,A
6c3d4e5f-3335-4446-5557-667778889990,1004100,Smoke detector false alarm in workshop,H,I
7d4e5f6a-4446-5557-6668-778889990001,1004155,Flow meter giving incorrect reading,M,N
8e5f6a7b-5557-6668-7779-889990001112,1004161,Level transmitter stuck on storage tank,H,R
9f6a7b8c-6668-7779-8880-990001112223,1004100,Temperature sensor drift on heat treatment furnace,H,C
1a7b8c9d-7779-8880-9991-001112223334,1004155,Pressure transmitter calibration expired,M,N
2b8c9d0e-8880-9991-0002-112223334445,1004161,Control valve actuator not responding,H,A
3c9d0e1f-9991-0002-1113-223334445556,1004100,Solenoid valve coil burned out,M,I
4d0e1f2a-0002-1113-2224-334445556667,1004155,Turbine blade erosion detected,H,N
5e1f2a3b-1113-2224-3335-445556667778,1004161,Pump shaft misalignment causing vibration,H,R
6f2a3b4c-2224-3335-4446-556667778889,1004100,Coupling guard missing on drive shaft,M,C
7a3b4c5d-3335-4446-5557-667778889990,1004155,Hydraulic power unit oil contaminated,M,N
8b4c5d6e-4446-5557-6668-778889990001,1004161,Pneumatic actuator positioner faulty,H,A
9c5d6e7f-5557-6668-7779-889990001112,1004100,Earthing connection corroded on motor,L,I
1d6e7f8a-6668-7779-8880-990001112223,1004155,Cooling jacket on extruder barrel leaking,H,N
2e7f8a9b-7779-8880-9991-001112223334,1004161,Gear pump internal clearance excessive,H,R
3f8a9b0c-8880-9991-0002-112223334445,1004100,Air dryer desiccant needs replacement,M,C
4a9b0c1d-9991-0002-1113-223334445556,1004155,Pulley lagging worn on belt conveyor,H,N
5b0c1d2e-0002-1113-2224-334445556667,1004161,V-belt slipping on fan drive,H,A
6c1d2e3f-1113-2224-3335-445556667778,1004100,Roller bearing failed on production line,H,I
7d2e3f4a-2224-3335-4446-556667778889,1004155,Tank roof seal deteriorated,H,N
8e3f4a5b-3335-4446-5557-667778889990,1004161,Flame detector sensitivity reduced,M,R
9f4a5b6c-4446-5557-6668-778889990001,1004100,Pump mechanical seal leaking product,L,C
1a5b6c7d-5557-6668-7779-889990001112,1004155,Air receiver safety valve weeping,H,N
2b6c7d8e-6668-7779-8880-990001112223,1004161,Gantry crane wheel flange worn,M,A
3c7d8e9f-7779-8880-9991-001112223334,1004100,Centrifuge drum out of balance,L,I
4d8e9f0a-8880-9991-0002-112223334445,1004155,Cooling water pH out of specification,M,N
5e9f0a1b-9991-0002-1113-223334445556,1004161,Lube oil filter differential pressure high,M,R
6f0a1b2c-0002-1113-2224-334445556667,1004100,Vibrating screen mesh torn,M,C
7a1b2c3d-1114-2225-3336-446557668779,1004155,Elevator platform safety brake slipping,H,N
8b2c3d4e-2225-3336-4447-557668779880,1004161,Gas detector calibration overdue,M,A
9c3d4e5f-3336-4447-5558-668779880991,1004100,Cooling fin damage on air cooler,L,I
1d4e5f6a-4447-5558-6669-779880991002,1004155,Steam separator drain trap blocked,L,N
